abate	to lessen to subside
quixotic	generous unselfish
quotidian	banal everyday
rabble	mob crowd the lower classes of populace
raconteur	person who tells anecdotes
rancorous	feeling bitterness spitefulness
rapacious	greedy (esp for money)
rebuff	snub
recalcitrant	disobedient
recidivism	relapse into antisocial or criminal behavior
reciprocity	granting of privileges in return for similar
recompense	make payment to reward punish
recondite	little known abstruse
redoubtable	formidable causing fear
refractory	stubborn unmanageable untractable
refulgent	shining brilliant
regale	to delight or entertain to feast
remonstrate	to protest object
repast	meal
reprobate	person hardened in sin one devoid of decency
repudiate	disown refuse to accept or pay
requite	repay give in return
rescind	repeal/annul/cancel
reticent	reserved untalkative silent taciturn
sagacious	having sound judgment perceptive wise like a sage
salubrious	healthful
sanctimony	self-righteousness hypocritical with FALSE piety
sanguine	cheerful confident optimistic
satiate	satisfy fully
saturnine	cold and steady in mood : slow to act or change
saturnine	gloomy dark sullen morose
scorn	open dislike and disrespect or derision often mixed with indignation
scurvy	mean contemptible
sedulous	persevering
sententious	short and pithy full of maxims/proverbs
sere	make hard and without feeling
serration	having a toothed edge
shunt	send from one track to another lay aside evade discussion
simper	(give a) silly/self-conscious smile
skiff	small boat
slake	to assuage to satisfy allay
smolder	burn slowly without flame
somatic	of the body
sophomoric	self-assured though immature affected bombastic overblown
soporific	producing sleep
sordid	wretched comfortless contemptible
specious	illogical of questionable truth or merit
spurious	FALSE counterfeit
stanch	to stop the flow of a fluid
stentorian	extremely loud and powerful
stipple	paint with dots
stolid	having or expressing little or no sensibility; unemotional
stormy	marked by turmoil or fury
striated	striped grooved or banded
strident	characterized by harsh, insistent, and discordant sound
strut	a supporting bar
suborn	induce by bribery or smth to commit perjury
subsume	include under a rule
succor	assistance relief in time of distress
summarily	briefly without delay
sumptuous	magnificent
superfluous	more then is needed or wanted
supersede	take the place of
supine	lying on the back slow to act passive
suppliant	asking humbly beseeching
supplicate	make a humble petition to
sycophant	person who flatter to the rich and powerful
taciturn	untalkative silent
tangential	suddenly changeable
tassel	bunch of threads
taut	tightly stretched
tautology	a repetition a redundancy
tawdry	cheap gaudy showy tacky
teetotal	oppose to alcohol
temerity	boldness brashness intrepidness
tepid	lukewarm
timorous	fearful timid afraid
torpid	sleeping sluggish lethargic dormant
tout	person who worries others to buy smth to use his service
transgress	break go beyond (a limit)
transitory	brief
trenchant	forceful effective vigorous extremely perceptive incisive
trite	not new
truculent	feeling or displaying ferocity
turbid	muddy having the sediment stirred up
turgid	excessively ornate swollen or bloated
tyro	tiro beginner
ubiquitous	present everywhere
umbrage	offense resentment
undulate	to move in wavelike fashion fluctuate
upbraid	scold reproach
urbane	elegant refined in manners
vacillation	being uncertain hesitating
vagary	strange act or idea
veer	change direction
venal	ready to do smth dishonest
veneration	regard with deep respect
veracity	truth
verdant	fresh and green
verisimilitude	appearing TRUE or real
veritable	real rightly named
vestige	trace or sign
vilify	slander say evil things
virago	a loud domineering woman a scold or nag
vitiate	lower the quality weaken the strength
vivacious	lively high-spirited
volubility	fluency verbosity easy use of spoken language
waft	scent waving movement carry lightly through
welter	turmoil a bewildering jumble
writ	written order
